ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,pmra,pmdec,radial_velocity,radial_velocity_error,mh_gspphot,ruwe,phot_bp_rp_excess_factor,distance_pc,M_G,color,pm_total,v_t,iso_label,iso_score,stability
313.8667929514246,-50.31108269682967,10.364241142613286,0.036523994,283.7653,15.667947,17.093334,14.499138,2.5941963,3456.6035,54.13657546190535,-114.75223240636372,7.9275074,6.9560013,-0.3924,1.0289863,1.4303201,96.48559756955399,10.745634545347382,2.5941963,126.88121864557687,58.028076354501955,-1,-0.09262509641482486,1.0
63.892180609899725,20.133188825752637,11.01192360604258,0.019567618,562.76263,9.560757,9.928567,9.02615,0.9024172,5566.459,55.00210701660409,-89.48380686572281,71.77142,0.1637754,0.1828,1.0481849,1.2055659,90.8106554109465,4.770072949317852,0.9024172,105.03610554208467,45.21200455806688,-1,-0.03358701390979968,1.0
79.63472082285956,-21.815601273869376,5.6037178622708765,0.011225782,499.18286,12.302148,12.726914,11.711784,1.01513,5232.253,69.09673653527618,62.5589680335009,-11.962971,0.82204676,-0.3531,1.0583808,1.2154471,178.45295294627044,6.0445293058528975,1.01513,93.20935297083635,78.84271548652207,-1,-0.01241153294402031,0.98
218.36887175001752,52.9098929455557,75.56887569382528,0.01506916,5014.8037,6.918849,7.448139,6.234747,1.2133923,4666.703,-191.4568767283299,247.9190111250067,11.167698,0.11796635,-0.1233,0.9579763,1.2358136,13.232961200211555,6.310563804379868,1.2133923,313.2404375615768,19.647767158234878,-1,-0.0757676669621351,1.0
334.05125112528555,-8.925437895131147,0.8449297122672075,0.024970287,33.837402,13.926094,14.223645,13.453443,0.77020264,5900.3057,17.66507215625748,-63.88606558487344,-97.72249,5.811715,-1.8689,1.2032545,1.201915,1183.530399607668,3.5601969125346304,0.77020264,66.2833625444616,371.8452954124403,-1,-0.020097899003748032,1.0
340.32761389883325,-1.6179707940489203,9.301442872655263,0.032215502,288.72568,15.143691,16.525764,13.986519,2.5392456,3500.6172,44.54721462959173,-18.46129397823303,-20.027231,3.6261706,-0.1795,1.0429027,1.4250928,107.5102017709358,9.986442615364894,2.5392456,48.22109192672491,24.573389189394362,-1,-0.034870314032844685,1.0
181.2901079542084,6.217651950689948,10.814831585065686,0.016767383,644.99225,13.42381,14.34534,12.470906,1.8744335,3986.2954,-197.33331427083704,-102.94109137775146,141.20576,1.5195462,-2.1976,0.96284264,1.3228037,92.46561004065106,8.593908803690095,1.8744335,222.56977605945403,97.54943756855594,-1,-0.0823895918294677,1.0
85.390010259094,-46.56446700796287,32.94083937983831,0.013979737,2356.3276,14.069881,15.815548,12.810351,3.0051966,3106.6812,130.98641365750427,183.7762218752991,60.44782,2.2137332,-0.0875,1.1095189,1.4881175,30.357453508366202,11.658554307105454,3.0051966,225.6792863548048,32.47396962132377,-1,-0.09608511773477912,1.0
86.10811349088833,-4.348548606408522,10.583254877994191,0.038253866,276.65842,15.476892,17.147614,14.237809,2.9098043,3333.3325,37.76568641257582,-6.9880978802913605,65.00361,5.5011234,-0.3756,1.0821179,1.4734468,94.48888943223926,10.599988277133555,2.9098043,38.40677781586925,17.20152532901326,-1,-0.03105350322797762,1.0
242.05220095407523,70.99297215985914,8.566120900604002,0.017563945,487.71054,14.85145,16.155622,13.723306,2.4323168,3576.9731,-0.5815731788069209,21.39302034709903,-4.7200007,8.197402,-0.042,1.1463325,1.4079593,116.738954726811,9.515370998268338,2.4323168,21.400923973831144,11.842043885792812,-1,-0.026772893071738357,1.0
295.4250000351207,76.04914824654098,6.643108250160448,0.012330318,538.76215,13.840398,14.665507,12.94932,1.7161875,4151.1445,25.181513741323357,77.86907391031868,-37.011124,1.8176218,-0.0807,1.0415109,1.2955838,150.53194413561565,7.952254646871538,1.7161875,81.8394850054369,58.39422516054916,-1,-0.00315319910593459,0.8
56.257591159373646,26.64590736122173,7.826563048542095,0.030994797,252.51216,15.1909275,16.402758,14.0982065,2.3045511,3587.4392,46.37564972609714,-31.73535426093236,23.420063,3.853352,-0.2895,0.97451514,1.3891352,127.7700050197994,9.65878294072062,2.3045511,56.19460470173743,34.03312854367825,-1,-0.02640143782649973,1.0
155.65398538392228,-14.063056511608025,1.119097625039956,0.014596177,76.6706,12.554692,12.9802885,11.951699,1.0285892,5960.669,-22.269753381048577,-85.82548004311445,568.97394,1.2441533,-0.4298,1.0021728,1.2235543,893.5770907067167,2.7990318703843258,1.0285892,88.66766569772638,375.55681113362857,-1,-0.030890396133490206,1.0
123.47166520112428,-39.23059680584424,5.76538472415534,0.024849525,232.01187,15.493505,16.711306,14.40192,2.3093853,3647.1333,-39.33491475628188,-53.90225340469676,10.383833,6.1565638,-0.0565,0.9609998,1.3866283,173.44896270500064,9.297646465354674,2.3093853,66.72846799521254,54.86068205858475,-1,-0.02506368367659484,1.0
318.88859085713324,37.2005850718284,8.422183675190691,0.012364541,681.1562,9.401132,9.6755,8.954747,0.7207527,5937.2173,110.04763699161576,43.34913969680476,4.7931437,0.17196728,-0.9051,0.87945926,1.1982654,118.73405265972883,4.028255542493158,0.7207527,118.27776764841114,66.56665780217328,-1,-0.036395440524488065,1.0
48.66005574883138,-55.60267241166197,7.65084759548517,0.01829859,418.1113,14.8372135,15.684504,13.933698,1.7508059,3831.3271,259.38655290728246,-43.18625211003637,104.7743,8.075167,-0.933,1.0330245,1.2997447,130.70447261165003,9.255761254625028,1.7508059,262.95709954369755,162.91223113275024,-1,-0.08320686191499282,1.0
82.76462925773474,-3.323359751779713,16.604358219102146,0.01568425,1058.6644,8.638946,8.980472,8.12738,0.85309124,5724.9443,-60.0554205004995,-120.40981532699875,14.746558,0.14368892,0.1141,0.971132,1.2037679,60.22515214406603,4.74005647094906,0.85309124,134.5554798533815,38.41117892598176,-1,-0.03966588432386797,1.0
343.66216112511364,-7.014831470522442,7.019406560750903,0.016021354,438.12814,13.374458,14.219048,12.468993,1.7500544,4274.916,-142.88212318956192,-94.66188274908652,-10.678229,1.723188,0.4061,1.0408359,1.3023105,142.46218556302355,7.605959986371676,1.7500544,171.39478747254523,115.73788832270695,-1,-0.07012825771113174,1.0
